date;name;isin;value;currencyid
2019-06-13;SBER;RU0009029540;16.0;RUB
2020-10-05;SBER;RU0009029540;18.7;RUB
2021-05-12;SBER;RU0009029540;18.7;RUB
2023-05-11;SBER;RU0009029540;25.0;RUB
2024-07-11;SBER;RU0009029540;33.3;RUB
2025-07-18;SBER;RU0009029540;34.84;RUB
2019-06-13;SBERP;RU0009029557;16.0;RUB
2020-10-05;SBERP;RU0009029557;18.7;RUB
2021-05-12;SBERP;RU0009029557;18.7;RUB
2023-05-11;SBERP;RU0009029557;25.0;RUB
2024-07-11;SBERP;RU0009029557;33.3;RUB
2025-07-18;SBERP;RU0009029557;34.84;RUB
2024-11-25;T;RU000A107UL4;92.5;RUB
2025-05-16;T;RU000A107UL4;32.0;RUB
2025-07-17;T;RU000A107UL4;33.0;RUB
2018-07-13;MBNK;RU000A0JRH43;0.25;RUB
2019-07-12;MBNK;RU000A0JRH43;1.8;RUB
2025-07-11;MBNK;RU000A0JRH43;89.31;RUB
2014-07-01;VTBR;RU000A0JP5V6;0.0;RUB
2015-07-06;VTBR;RU000A0JP5V6;0.0;RUB
2016-07-04;VTBR;RU000A0JP5V6;0.0;RUB
2016-12-26;VTBR;RU000A0JP5V6;0.01;RUB
2017-05-10;VTBR;RU000A0JP5V6;0.0;RUB
2018-06-04;VTBR;RU000A0JP5V6;0.0;RUB
2019-06-24;VTBR;RU000A0JP5V6;0.00109867761463259;RUB
2020-10-05;VTBR;RU000A0JP5V6;0.00077345337561138;RUB
2021-06-22;VTBR;RU000A0JP5V6;1.73965919370917e-05;RUB
2021-07-15;VTBR;RU000A0JP5V6;1.73965919370917e-05;RUB
2025-07-11;VTBR;RU000A0JP5V6;25.58;RUB
2019-06-07;CBOM;RU000A0JUG31;0.11;RUB
2018-11-08;SVCB;RU000A0ZZAC4;0.0801497515821;RUB
2019-01-21;SVCB;RU000A0ZZAC4;0.1602995031642;RUB
2019-05-11;SVCB;RU000A0ZZAC4;0.0507767680824497;RUB
2019-07-01;SVCB;RU000A0ZZAC4;0.088859344144287;RUB
2019-09-26;SVCB;RU000A0ZZAC4;0.116786566589634;RUB
2020-01-04;SVCB;RU000A0ZZAC4;0.111708889781389;RUB
2021-02-14;SVCB;RU000A0ZZAC4;0.2792722244534733;RUB
2021-07-11;SVCB;RU000A0ZZAC4;0.0660097985071846;RUB
2023-11-13;SVCB;RU000A0ZZAC4;0.262531330926804;RUB
2024-07-08;SVCB;RU000A0ZZAC4;1.14;RUB
2025-07-08;SVCB;RU000A0ZZAC4;0.35;RUB
